,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
poireau ,leek,B,239,4.72,2.35,3.61,2.48,5.41,1.87,3.76,2.51,4.14,2.60,3.48,2.50,7,5,2,NOUN,0.61,0.88,6.04,1,,,,
poisson,fish,AF,89,6.49,1.88,4.59,2.51,6.82,2.13,5.06,2.68,6.20,1.64,4.20,2.35,7,5,2,NOUN,53.61,30.14,6.88,1,,,,1
poivron,sweet pepper,,,5.57,1.94,3.99,2.22,6.25,1.06,4.67,2.02,5.45,2.05,3.86,2.24,7,6,2,NOUN,0.51,0.27,6.49,1,,,,1
politique,politics,,,3.11,2.13,3.72,3.16,2.82,1.91,4.00,2.85,3.35,2.32,3.47,3.47,9,7,3,NOUN,34.84,65.88,2.95,,,,,1
pomme,apple,AF,6,6.65,1.65,4.00,2.69,7.24,1.68,5.12,2.37,6.15,1.50,3.05,2.63,5,3,1,NOUN,19.77,46.08,7.00,1,,,,1
pont ,bridge,B,240,5.08,1.61,4.00,2.40,5.47,1.46,4.24,2.41,4.75,1.68,3.80,2.44,4,2,1,NOUN,50.45,74.59,6.66,1,,,,
population,population,,,5.22,1.27,4.42,2.47,4.33,1.41,5.00,2.78,5.34,1.22,4.34,2.44,10,9,4,NOUN,14.86,23.58,4.29,,,,,1
porte,door,AF,76,5.02,1.08,3.22,2.24,4.89,1.02,3.67,2.40,5.09,1.12,2.97,2.15,5,4,1,NOUN,288.39,536.96,6.75,1,,,,1
possibilité,possibility,,,7.19,1.18,5.62,2.19,6.38,1.60,4.25,2.60,7.28,1.10,5.77,2.10,11,10,5,NOUN,16.79,19.46,2.38,,,,,1
poste ,post office,,,4.30,1.84,3.11,2.27,4.24,1.71,2.76,1.99,4.35,1.98,3.40,2.50,5,4,1,NOUN,72.64,73.58,4.04,,,,,1
postulat,postulate,,,5.04,1.01,3.53,2.03,4.89,0.33,3.89,2.26,5.06,1.06,3.49,2.01,8,7,3,NOUN,0.14,0.61,,,,,,1
pot ,jar,B,242,5.11,1.31,3.22,1.86,5.71,1.45,3.82,1.91,4.60,0.94,2.70,1.69,3,2,1,NOUN,25.72,32.30,6.30,1,,,,
poteau ,post,B,243,4.32,1.67,3.30,2.59,4.71,1.61,3.94,2.90,4.00,1.69,2.75,2.22,6,4,2,NOUN,3.88,7.70,6.50,1,,,,
poubelle,garbage can,AF,102,2.95,1.67,3.86,2.67,3.12,1.90,4.65,2.60,2.80,1.47,3.20,2.61,8,5,2,NOUN,14.85,10.27,6.77,1,,,,1
pouce,thumb,AF,231,5.08,1.66,3.00,2.20,5.12,2.06,3.06,2.11,5.05,1.28,2.95,2.33,5,3,1,NOUN,11.89,29.86,6.55,1,,,,1
poule,hen,AF,55,5.11,1.91,3.35,2.35,5.94,1.39,3.18,2.32,4.40,2.04,3.50,2.42,5,3,1,NOUN,23.50,16.69,6.87,1,,,,1
poulet ,chicken,B,244,6.38,1.93,4.60,2.76,6.17,2.09,4.94,2.46,6.50,1.85,4.41,2.93,6,4,2,NOUN,32.33,14.53,6.77,1,,,,
poupée,doll,AF,74,5.19,2.25,3.27,2.55,4.76,2.33,3.06,2.36,5.56,2.16,3.45,2.74,6,4,2,NOUN,22.05,18.58,6.66,1,,,,1
poussière,dust,,,3.08,1.65,3.42,2.45,3.50,1.58,4.06,2.39,2.84,1.67,3.06,2.45,9,6,2,NOUN,22.77,73.38,5.80,,,,,1
poussin ,chick,B,245,6.47,1.75,4.47,2.38,6.47,1.84,3.53,1.91,6.48,1.72,5.24,2.49,7,4,2,NOUN,5.81,1.55,6.87,1,,,,
pré ,meadow,B,83,6.84,1.69,3.92,2.36,7.18,1.67,4.00,2.42,6.55,1.70,3.85,2.37,3,3,1,NOUN,5.03,19.80,5.90,1,,,,
présent,present,,,6.58,1.46,4.62,2.28,6.00,1.51,2.88,1.89,6.65,1.46,4.82,2.25,7,5,2,NOUN,65.14,137.23,2.90,,1,,,1
prestige,prestige,,,7.12,1.77,5.45,2.33,6.42,2.43,5.42,3.03,7.25,1.61,5.46,2.20,8,7,2,NOUN,2.54,14.73,2.56,,,,,1
prise,plug,AF,177,3.92,1.80,2.95,2.53,3.94,1.92,3.00,2.62,3.90,1.74,2.90,2.51,5,4,1,NOUN,22.92,27.70,3.27,1,,,,
prix ,price,,,3.72,2.06,4.44,2.41,3.72,1.90,5.33,1.97,3.72,2.17,3.94,2.51,4,3,1,NOUN,126.55,107.50,3.94,,,,,
profond,deep,,,5.32,1.64,3.97,2.32,6.11,1.76,3.78,2.73,5.22,1.61,4.00,2.29,7,5,2,ADJ,24.72,47.77,,,,,1,1
propre,clean,,,7.45,1.45,4.09,2.39,6.75,1.67,4.50,2.33,7.53,1.41,4.04,2.40,6,5,1,ADJ,120.61,149.80,3.88,,,,1,1
prune,plum,,,5.11,1.87,3.65,2.61,5.12,1.80,3.88,2.76,5.10,1.97,3.45,2.52,5,4,1,NOUN,1.07,1.55,6.48,1,,,,1
puissance,power,,,6.35,2.11,6.66,2.26,6.83,1.59,5.83,2.59,6.26,2.20,6.82,2.18,9,6,2,NOUN,30.37,44.12,3.06,,,,,1
puits,well,AF,253,4.11,1.82,3.35,2.36,4.00,1.54,3.12,2.37,4.20,2.07,3.55,2.39,5,3,1,NOUN,19.52,21.69,5.56,1,,,,1
pull-over,sweater,AF,224,5.82,2.28,3.03,2.34,5.88,1.62,2.76,2.11,5.76,2.74,3.24,2.55,9,7,3,NOUN,0.78,5.27,5.20,1,,,,1
pur,pure,,,7.31,1.56,3.32,2.29,6.11,1.17,3.67,2.06,7.47,1.54,3.28,2.33,3,3,1,ADJ,26.48,44.59,2.50,,,,,1
puzzle ,jigsaw-puzzle,B,247,4.78,1.96,3.54,2.42,5.12,1.62,3.47,2.10,4.50,2.21,3.60,2.72,6,5,2,NOUN,4.38,7.77,6.36,1,,,,
pyjama,pajamas,,,6.15,1.74,3.41,2.48,5.38,1.06,3.25,1.98,6.24,1.78,3.42,2.54,6,6,3,NOUN,7.10,15.07,6.71,,,,,1
qualité,quality,,,7.71,1.35,4.79,2.41,7.33,1.61,4.92,2.68,7.78,1.29,4.77,2.38,7,6,3,NOUN,20.84,42.70,2.73,,,,,1
quatre,four,,,5.27,0.84,2.59,1.95,5.29,0.69,2.47,1.81,5.25,0.97,2.70,2.11,6,4,1,ADJ:num,150.93,282.64,4.70,,,,,
quiche,quiche,,,6.62,2.07,4.54,2.61,6.82,2.04,5.12,2.50,6.45,2.14,4.05,2.67,6,3,1,NOUN,1.10,0.41,6.30,,,,,
quille ,skittle,B,248,4.59,1.42,2.84,2.11,4.59,1.62,2.53,1.91,4.60,1.27,3.10,2.29,6,3,1,NOUN,1.49,2.57,6.59,1,,,,
quinze,fifteen,,,5.30,1.28,3.52,2.43,5.67,1.50,4.72,2.44,5.09,1.12,2.84,2.17,6,3,1,ADJ:num,21.92,94.80,5.10,,,,,
racisme,racism,,,1.36,0.86,6.86,2.34,2.11,1.45,6.89,2.03,1.26,0.70,6.85,2.40,7,6,2,NOUN,2.09,2.77,,,,,,1
radio,radio,,,6.44,1.60,5.03,2.49,5.50,0.76,3.25,2.19,6.55,1.64,5.23,2.45,5,5,2,NOUN,71.31,50.54,6.19,,,,,1
rage,rage,,,3.27,2.49,7.16,2.06,4.65,2.74,7.29,1.61,2.10,1.52,7.05,2.42,4,3,1,NOUN,15.54,44.12,3.91,,,1,,1
rail,rail,,,4.72,1.69,3.48,2.49,5.28,1.81,4.17,2.64,4.41,1.56,3.09,2.36,4,3,1,NOUN,1.70,2.50,5.77,,,,,
raisin,grape,AF,109,6.34,1.88,3.82,2.28,5.94,1.63,4.11,2.30,6.56,2.00,3.66,2.29,6,4,2,NOUN,5.88,4.86,6.88,1,,,,1
rame,oar,,,4.57,1.27,3.67,2.07,5.08,0.90,3.25,2.01,4.47,1.31,3.75,2.09,4,3,1,NOUN,2.47,5.74,6.26,1,,,,1
rampe ,banister,,,5.00,1.23,3.34,2.26,4.94,1.51,4.44,2.45,5.03,1.06,2.72,1.90,5,3,1,NOUN,5.32,18.18,5.90,,,,,
rang,row,,,4.19,1.68,3.27,2.12,4.35,1.77,3.82,1.98,4.05,1.64,2.80,2.17,4,2,1,NOUN,19.40,37.16,4.66,,,,,1
rapide,fast,,,6.43,1.41,5.95,2.68,6.44,1.13,5.89,2.98,6.43,1.45,5.96,2.67,6,5,2,ADJ,42.28,53.99,,,,,1,1
raquette,racket,,,5.03,1.71,3.24,2.36,5.82,1.42,3.24,2.51,4.35,1.66,3.25,2.29,8,5,2,NOUN,1.77,1.69,6.56,,,,,1
rasoir,razor,,,4.33,1.77,4.15,2.34,4.25,1.04,4.13,2.90,4.34,1.84,4.16,2.30,6,6,2,NOUN,8.18,15.61,6.43,1,,,,1
rat,rat,AF,376,3.97,2.28,4.78,2.58,4.41,2.40,4.59,2.60,3.60,2.16,4.95,2.63,3,2,1,NOUN,24.21,20.81,6.80,1,,,,1
râteau,rake,AF,304,4.38,1.88,3.19,2.66,4.00,2.09,3.76,3.03,4.70,1.66,2.70,2.27,6,4,2,NOUN,0.77,1.62,6.47,1,,,,1
règle,ruler,AF,192,3.89,1.81,3.89,2.51,4.23,1.86,4.41,2.32,3.60,1.76,3.45,2.65,5,4,1,NOUN,33.17,27.91,5.90,1,,,,1
regret,regret,,,2.30,1.65,6.16,2.70,2.59,1.91,7.00,2.42,2.05,1.39,5.45,2.78,6,5,2,NOUN,7.25,29.32,2.52,,,1,,1
reine ,queen,B,250,6.00,1.91,3.70,2.47,5.76,2.14,4.29,2.31,6.20,1.74,3.20,2.55,5,3,1,NOUN,56.26,30.00,6.54,1,,,,
religion,religion,,,4.16,2.27,5.09,2.53,3.00,2.52,6.08,2.57,4.37,2.18,4.91,2.50,8,7,3,NOUN,22.86,30.88,3.57,,,,,1
remord,remorse,,,2.00,1.29,5.79,2.40,3.11,1.05,5.11,1.76,1.85,1.25,5.88,2.47,7,5,2,NOUN,10.67,27.64,,,,1,,1
renard,fox,AF,98,5.71,2.13,4.21,2.21,5.65,2.23,3.59,2.15,5.76,2.10,4.71,2.17,6,5,2,NOUN,4.69,8.58,6.91,1,,,,1
renne,reindeer,,,5.77,1.38,3.72,2.01,5.50,1.41,2.88,2.42,5.80,1.38,3.82,1.96,5,3,1,NOUN,0.81,0.47,5.06,1,,,,1
repos,rest,,,7.73,1.57,2.39,2.41,7.17,1.95,2.58,3.06,7.83,1.49,2.35,2.30,5,4,2,NOUN,42.29,43.58,3.90,,,,,1
république,republic,,,5.84,1.49,4.69,1.89,5.56,1.01,4.56,1.67,5.88,1.54,4.71,1.92,10,8,3,NOUN,3.44,20.41,2.59,,,,,1
requin,shark,AF,381,4.43,2.33,5.51,2.80,5.12,2.15,5.29,2.59,3.85,2.37,5.70,3.03,6,4,2,NOUN,8.15,1.62,6.83,1,,,,
reste,rest,,,4.70,1.65,3.19,2.01,5.47,1.28,3.47,1.84,4.05,1.67,2.95,2.16,5,4,1,NOUN,203.10,152.91,2.79,,,,,
rêve,dream,,,8.05,1.27,6.16,2.53,7.76,1.56,5.71,2.69,8.30,0.92,6.55,2.39,4,3,1,NOUN,99.39,80.20,4.30,,,,,1
réveil,alarm clock,,,3.27,2.04,4.72,2.69,2.75,1.67,6.75,1.91,3.32,2.08,4.49,2.68,6,5,2,NOUN,18.16,26.22,4.12,,,,,1
revolver,revolver,AF,112,3.39,2.25,5.08,3.21,4.18,2.16,5.41,2.94,2.76,2.17,4.81,3.46,8,8,3,NOUN,28.05,23.31,6.09,1,,,,
rhinocéros,rhinoceros,AF,186,5.34,1.94,4.63,2.75,5.71,1.93,4.35,2.87,5.05,1.94,4.86,2.69,10,9,4,NOUN,2.51,2.50,6.72,1,,,,1
riche,rich man/woman,,,7.03,2.01,5.95,2.05,6.65,2.50,6.35,1.87,7.35,1.46,5.60,2.19,5,3,1,NOUN,7.12,4.66,4.30,,,,1,
richesse,richness,,,7.39,1.68,5.75,2.73,6.67,1.72,5.25,2.90,7.52,1.65,5.85,2.72,8,5,2,NOUN,8.44,14.66,4.59,,,,,1
rideau,curtain,,,5.19,1.20,2.89,1.84,5.53,1.42,3.00,1.84,4.90,0.91,2.80,1.88,6,4,2,NOUN,10.81,43.65,6.59,,,,,
rien,nothing,,,4.51,1.94,2.68,2.15,5.00,2.12,3.00,2.42,4.10,1.71,2.40,1.90,4,3,1,NOUN,6.65,20.81,2.57,,,,,
rire,laughter,,,8.48,0.95,7.20,2.01,8.22,1.00,6.94,2.21,8.63,0.91,7.34,1.91,4,3,1,NOUN,22.80,112.57,5.68,,,,,1
rivière,river,,,6.80,1.74,4.78,2.66,6.17,1.65,4.67,2.66,7.16,1.71,4.84,2.70,7,6,2,NOUN,28.17,36.49,6.56,,,,,
robe,dress,AF,78,7.08,1.79,5.97,2.01,6.29,1.83,5.94,1.98,7.75,1.48,6.00,2.08,4,3,1,NOUN,72.72,111.96,6.80,1,,,,1
robinet,faucet,AF,277,5.16,1.04,2.35,1.96,5.12,0.99,2.41,2.03,5.20,1.11,2.30,1.95,7,6,3,NOUN,5.12,13.65,6.62,1,,,,1
robot ,robot,B,253,5.30,1.98,4.32,2.85,6.24,2.17,5.12,2.69,4.50,1.43,3.65,2.87,5,4,2,NOUN,14.97,1.69,6.73,1,,,,1
rond ,circle,,,5.36,1.26,3.12,2.14,5.61,1.14,4.06,2.15,5.22,1.31,2.59,1.98,4,2,1,NOUN,15.11,24.46,6.20,,,,,
ronde ,round,,,4.86,1.73,3.34,2.06,5.17,1.29,3.11,2.30,4.69,1.93,3.47,1.93,5,3,1,NOUN,7.93,17.97,5.20,,,,,
rose ,rose,B,254,6.86,1.81,4.95,2.94,6.12,1.90,4.35,3.08,7.50,1.50,5.45,2.80,4,3,1,NOUN,11.12,30.34,6.91,1,,,,1
roue,wheel,AF,254,5.24,1.57,3.27,2.45,5.47,1.23,3.12,2.29,5.05,1.82,3.40,2.62,4,2,1,NOUN,13.49,17.77,6.60,1,,,,1
rouge,red,,,5.82,1.86,5.45,2.41,5.33,1.22,5.22,1.79,5.88,1.93,5.49,2.49,5,3,1,ADJ,79.70,195.27,6.20,,,,,1
route ,road,B,255,5.46,2.29,4.68,2.65,5.41,2.24,5.00,2.52,5.50,2.40,4.40,2.78,5,3,1,NOUN,152.83,251.35,6.19,1,,,,
royaume,kingdom,,,5.72,1.99,4.42,2.46,5.25,1.75,3.50,2.98,5.77,2.02,4.52,2.40,7,6,2,NOUN,24.16,18.78,5.25,,,,,1
ruche,hive,,,4.41,1.84,5.12,2.62,4.92,1.51,4.75,2.83,4.31,1.89,5.19,2.59,5,3,1,NOUN,2.64,2.03,5.70,1,,,,1
rue,street,,,4.96,1.59,3.66,2.22,5.06,1.39,3.78,2.07,4.91,1.71,3.59,2.33,3,2,1,NOUN,127.35,449.53,6.36,,,,,
rugueux,rough,,,3.44,1.59,4.00,2.06,4.33,1.73,4.78,1.09,3.32,1.54,3.90,2.15,7,4,2,ADJ,0.50,4.59,,,,,,1
sabot ,clog,B,257,4.59,1.83,3.28,2.12,5.12,1.17,3.59,2.18,4.15,2.18,3.00,2.08,5,4,2,NOUN,1.79,5.74,6.32,1,,,,
sage,wise man,,,7.27,1.43,3.22,2.08,7.65,1.06,3.59,2.06,6.95,1.64,2.90,2.10,4,3,1,NOUN,3.31,4.59,3.30,,,,1,
salade,salad,,,5.90,1.39,3.37,2.03,5.00,0.53,2.75,1.98,6.00,1.42,3.44,2.04,6,5,2,NOUN,15.88,15.41,6.62,1,,,,1
sale,dirty,,,2.08,1.26,4.95,2.22,2.92,1.44,5.42,2.11,1.92,1.18,4.86,2.25,4,3,1,ADJ,120.13,74.86,4.40,,,,1,1
salière,salt shaker,AF,194,4.76,1.48,3.03,2.37,5.00,1.46,3.06,2.33,4.55,1.50,3.00,2.47,7,6,2,NOUN,0.20,1.28,5.75,1,,,,1
salle,room,,,4.88,1.14,3.16,2.14,5.06,1.39,3.67,2.30,4.78,0.97,2.88,2.03,5,3,1,NOUN,111.10,197.64,6.18,,,,,
salopette,overalls,,,5.08,1.57,3.13,2.08,4.44,2.70,5.44,2.65,5.16,1.37,2.82,1.80,9,7,3,NOUN,0.53,4.73,,,,,,1
sandale,sandal,,,5.77,1.95,4.22,2.49,5.75,2.55,4.25,2.96,5.77,1.90,4.21,2.46,7,5,2,NOUN,0.22,0.74,6.36,,,,,1
sandwich,sandwich,AF,195,7.38,1.36,5.14,2.53,7.59,1.23,5.47,2.60,7.20,1.47,4.85,2.50,8,7,2,NOUN,0.00,8.18,6.63,1,,,,1
sang ,blood,B,259,4.47,2.30,4.24,2.47,4.35,2.23,4.59,2.48,4.57,2.40,3.95,2.48,4,2,1,NOUN,304.30,205.20,6.62,1,,,,
sanglier,wild boar,B,182,4.98,1.85,4.70,2.32,5.67,1.68,4.83,2.55,4.59,1.85,4.63,2.23,8,7,3,NOUN,4.59,5.34,5.97,1,,,,1
santé,health,,,7.08,1.95,4.32,2.11,7.41,1.66,4.65,2.18,6.80,2.17,4.05,2.06,5,4,2,NOUN,88.58,52.43,3.05,,,,,1
sapin ,fir tree,B,260,7.16,1.71,5.70,2.76,7.35,1.22,6.00,2.50,7.00,2.05,5.45,3.00,5,4,2,NOUN,5.95,9.86,6.80,1,,,,1
satire,satire,,,3.47,1.92,5.25,2.24,5.08,1.83,5.00,2.41,3.17,1.80,5.29,2.22,6,5,2,NOUN,0.27,0.41,2.36,,,,,1
saucisson,dry sausage,,,6.65,1.97,4.31,2.58,8.00,1.58,5.00,2.96,6.47,1.95,4.22,2.53,9,6,3,NOUN,2.08,6.08,6.04,,,,,1
sauterelle,grasshopper,AF,110,4.65,2.06,3.38,2.81,5.18,1.88,3.53,2.53,4.20,2.14,3.25,3.09,10,7,3,NOUN,1.63,1.62,6.83,1,,,,1
sauvetage,rescue,,,7.53,1.47,5.72,2.74,7.63,1.60,6.75,1.75,7.52,1.47,5.61,2.81,9,7,3,NOUN,8.20,3.45,,,,,,1
savon,soap,,,6.21,1.50,3.49,2.09,5.92,1.38,4.08,2.75,6.26,1.52,3.38,1.96,5,4,2,NOUN,15.65,16.55,6.61,,,,,1
scie,saw,AF,196,4.35,1.89,3.62,2.60,5.12,1.76,3.88,2.96,3.70,1.78,3.40,2.30,4,2,1,NOUN,5.21,8.11,6.53,1,,,,1
seau ,bucket,B,263,4.89,1.22,3.08,2.13,5.18,0.73,3.41,2.27,4.65,1.50,2.80,2.02,4,2,1,NOUN,7.02,14.73,5.80,1,,,,1
sécurité,safety,,,5.76,2.20,4.32,2.77,5.47,2.27,4.41,2.96,6.00,2.18,4.25,2.67,8,8,4,NOUN,112.69,38.92,3.76,,,,,1
sein ,breast,B,264,6.74,1.69,5.26,2.90,7.53,1.70,6.29,2.93,6.10,1.41,4.43,2.66,4,2,1,NOUN,16.93,32.23,6.33,1,,,,
seize,sixteen,,,5.30,2.18,3.92,2.82,6.00,2.00,4.12,2.52,4.70,2.20,3.75,3.11,5,3,1,ADJ:num,7.71,31.42,4.90,,,,,
sel,salt,,,5.28,1.49,3.70,2.07,5.13,0.35,2.13,1.81,5.30,1.57,3.87,2.03,3,3,1,NOUN,20.93,31.01,6.42,1,,,,1
selle,saddle,AF,307,4.65,2.30,3.27,2.41,4.41,2.03,3.53,2.37,4.85,2.54,3.05,2.48,5,3,1,NOUN,8.90,16.08,5.66,1,,,,
senteur,fragrance,,,6.62,1.53,4.62,2.58,5.75,0.97,4.17,2.29,6.78,1.57,4.71,2.63,7,5,2,NOUN,0.51,6.01,2.97,,,,,1
serpent,snake,AF,209,5.08,2.29,5.68,2.48,5.76,2.19,5.76,2.02,4.50,2.26,5.60,2.87,7,5,2,NOUN,20.91,13.24,6.71,1,,,,1
serrure,lock,,,4.55,1.24,3.42,1.96,4.56,1.33,4.22,1.86,4.54,1.24,3.31,1.96,7,5,2,NOUN,7.40,16.08,6.51,,,,,1
serviette,towel,,,5.15,1.16,3.19,1.93,5.13,0.83,2.00,1.85,5.15,1.19,3.32,1.90,9,7,2,NOUN,17.16,26.62,6.57,1,,,,1
seul,alone,,,2.34,1.62,3.77,2.67,3.42,2.07,3.67,2.84,2.14,1.46,3.78,2.65,4,3,1,ADJ,461.20,478.58,3.70,,1,,1,1
siècle,century,,,5.29,1.20,3.84,2.05,4.78,0.67,4.33,2.00,5.35,1.24,3.78,2.06,6,5,1,NOUN,27.29,79.05,2.99,,,,,1
sieste,nap,,,6.92,2.07,3.46,2.71,6.29,2.31,3.41,2.85,7.45,1.73,3.50,2.67,6,5,1,NOUN,9.23,13.38,5.20,,,,,1
sifflet,whistle,AF,255,4.24,2.05,3.84,2.80,4.41,2.12,4.12,3.04,4.10,2.02,3.62,2.65,7,5,2,NOUN,3.76,13.31,6.50,1,,,,1
silence,silence,,,5.71,2.68,2.97,2.60,6.35,2.42,2.35,2.42,5.19,2.82,3.48,2.69,7,5,2,NOUN,105.53,313.24,3.99,,,,,1
singe,monkey,AF,145,6.32,1.99,4.52,2.44,5.83,1.82,4.89,2.56,6.59,2.06,4.31,2.39,5,3,1,NOUN,21.59,15.00,6.91,1,,,,1
sirène ,mermaid,B,266,5.65,2.63,4.65,2.79,5.82,2.92,5.88,2.62,5.50,2.42,3.60,2.54,6,5,2,NOUN,8.06,10.34,6.13,1,,,,
ski,ski,AF,19,7.03,2.41,6.51,2.61,7.35,2.34,6.41,2.65,6.75,2.49,6.60,2.64,3,3,1,NOUN,13.84,5.00,6.73,1,,,,1
soeur,sister,,,6.81,2.23,5.00,2.58,7.06,1.98,5.18,2.38,6.60,2.46,4.85,2.80,5,3,1,NOUN,155.22,116.55,6.03,,,,,1
soif,thirst,,,4.16,2.05,5.15,2.22,4.50,1.85,5.75,1.04,4.13,2.08,5.08,2.31,4,4,1,NOUN,31.28,35.27,3.84,,,,,1
soin ,care,,,6.05,1.79,4.27,2.65,5.88,1.80,4.76,2.33,6.20,1.82,3.85,2.89,4,3,1,NOUN,54.45,45.41,3.50,,,,,
sol,ground,,,4.78,1.25,2.57,2.05,5.00,1.41,2.59,2.37,4.60,1.10,2.55,1.79,3,3,1,NOUN,45.83,148.31,5.76,,,,,
soleil,sun,AF,222,7.95,1.58,5.89,2.87,7.76,1.52,5.29,2.91,8.10,1.64,6.38,2.82,6,5,2,NOUN,120.72,328.78,6.87,1,,,,1
sombre,dark,,,2.86,1.67,4.00,2.35,3.92,1.56,4.17,2.72,2.66,1.62,3.97,2.29,6,4,1,ADJ,24.66,93.72,4.90,,,1,,1
sommeil,sleep,,,7.25,2.19,3.73,3.00,7.06,2.30,3.29,2.93,7.42,2.14,4.10,3.08,7,5,2,NOUN,44.51,112.03,4.54,,,,,1
son,sound,,,7.63,1.76,5.95,2.80,7.53,2.12,6.12,2.91,7.71,1.45,5.81,2.77,3,2,1,NOUN,39.69,49.32,3.26,,,,,1
songe,dream,,,6.51,1.74,3.72,2.42,6.67,1.22,3.67,2.40,6.49,1.80,3.73,2.44,5,3,1,NOUN,3.81,10.68,2.44,,,,,1
sort,fate,,,5.19,2.05,4.00,2.68,5.35,2.12,4.29,2.85,5.05,2.04,3.75,2.57,4,3,1,NOUN,42.92,57.50,2.40,,,,,1
sou ,cent,,,7.16,1.46,5.30,2.38,7.00,1.54,5.00,1.84,7.30,1.42,5.55,2.78,3,2,1,NOUN,14.43,12.57,4.90,,,,,
souffle,breath,,,5.92,1.85,4.35,2.38,6.06,1.52,4.18,2.43,5.80,2.12,4.50,2.40,7,4,1,NOUN,26.55,93.18,4.16,,,,,
souffrance,suffering,,,2.05,1.84,5.57,2.98,2.35,1.69,5.76,2.44,1.80,1.96,5.40,3.42,10,6,2,NOUN,20.05,33.58,3.87,,,1,,1
soupe,soup,,,5.73,2.33,2.92,2.31,5.35,2.26,3.24,2.54,6.05,2.39,2.65,2.13,5,3,1,NOUN,31.72,35.74,6.44,,,,,1
souplesse,flexibility,,,6.89,1.54,4.59,2.54,5.63,1.41,3.50,1.31,7.03,1.50,4.72,2.62,9,6,2,NOUN,1.28,9.73,3.45,,,,,1
sourcil,eyebrow,,,4.94,1.28,2.98,1.76,4.83,0.99,3.28,1.74,5.00,1.44,2.81,1.77,7,5,2,NOUN,1.42,8.65,6.67,,,,,
souris,mouse,AF,149,4.97,2.32,3.89,2.41,5.88,1.45,3.76,2.56,4.20,2.65,4.00,2.34,6,4,2,NOUN,21.94,22.57,6.94,1,,,,1
souvenir,memory,,,7.21,2.08,5.92,2.53,6.71,2.14,5.65,2.64,7.62,1.99,6.14,2.48,8,7,3,NOUN,30.45,106.69,3.64,,,,,1
spaghetti ,spaghetti,B,267,7.54,1.32,5.22,2.38,7.47,1.46,5.18,2.51,7.60,1.23,5.25,2.34,9,7,3,NOUN,3.73,1.89,6.85,1,,,,
sport,sport,,,6.73,2.46,6.59,2.54,7.71,1.83,6.53,2.94,5.90,2.65,6.65,2.23,5,4,1,NOUN,24.61,15.54,5.60,,,,,
squelette,skeleton,AF,382,3.62,1.86,4.24,2.63,4.12,1.41,4.47,2.67,3.20,2.12,4.05,2.65,9,6,2,NOUN,5.09,8.58,6.80,1,,,,
stabilité,stability,,,6.75,1.70,3.74,2.49,5.92,2.07,3.67,2.53,6.91,1.60,3.75,2.50,9,9,4,NOUN,1.81,3.18,,,,,,1
steak,steak,,,6.54,1.89,4.68,2.41,7.50,1.15,5.56,1.92,6.00,2.02,4.19,2.55,5,4,1,NOUN,8.15,1.69,6.59,,,,,
stop,stop sign,,,3.86,1.57,4.14,2.30,4.35,1.73,4.53,2.15,3.45,1.32,3.80,2.42,4,4,1,NOUN,44.36,6.49,4.90,,,,,
stylo,pen,AF,167,4.92,1.32,3.14,2.18,5.29,1.36,3.53,2.32,4.60,1.23,2.80,2.04,5,5,2,NOUN,15.34,10.61,6.70,1,,,,1
sucre,sugar,,,6.69,1.53,5.18,2.28,6.56,1.24,5.22,1.48,6.71,1.57,5.18,2.37,5,4,1,NOUN,30.57,30.54,6.05,,,,,1
sueur,sweat,,,2.70,1.73,4.96,2.63,4.13,1.64,3.75,1.91,2.54,1.67,5.10,2.67,5,4,1,NOUN,10.27,57.30,5.67,,,,,1
supercherie,fraud,,,3.32,2.22,5.24,2.39,2.67,2.02,5.67,2.06,3.45,2.24,5.16,2.46,11,9,4,NOUN,1.55,1.69,2.23,,,,,1
sûre,sure,,,6.95,1.57,3.97,2.33,5.11,1.27,3.56,1.74,7.19,1.45,4.03,2.41,4,3,1,ADJ,122.03,56.55,,,,,1,1
surprise,surprise,,,7.60,1.69,7.42,1.98,6.28,1.93,6.17,2.43,8.34,0.94,8.13,1.24,8,7,2,NOUN,75.62,68.51,3.67,,,1,,
table,table,AF,226,5.51,1.39,3.65,2.19,5.71,1.36,4.12,2.12,5.35,1.42,3.25,2.22,5,4,1,NOUN,111.44,341.08,6.77,1,,,,1
tableau,picture,AF,301,5.58,1.59,3.64,2.41,5.39,1.46,3.89,1.81,5.69,1.67,3.50,2.70,7,5,2,NOUN,37.80,57.84,6.49,1,,,,
tabouret,stool,AF,218,4.81,0.97,2.38,1.92,4.65,1.00,2.65,2.12,4.95,0.94,2.15,1.76,8,6,3,NOUN,2.79,15.47,5.99,1,,,,1
